Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data,AST_TO_Ratio,ReboundActivity,PF_per_Min
Jayson Tatum,BOS,NYK,W,30.3,14,18,0.778,8,11,0.727,1,2,0.5,0,4,4,10,1,1,1,1,37,38.1,2024-10-22,5.0,4,0.03300329924081521
Anthony Davis,LAL,MIN,W,37.58,11,23,0.478,1,3,0.333,13,15,0.867,3,13,16,4,1,3,1,1,36,34.0,2024-10-22,2.0,16,0.026609898174297552
Derrick White,BOS,NYK,W,26.63,8,13,0.615,6,10,0.6,2,2,1.0,0,3,3,4,1,0,0,1,24,22.4,2024-10-22,4.0,3,0.03755163208593195
Jrue Holiday,BOS,NYK,W,30.52,7,9,0.778,4,6,0.667,0,0,0.0,2,2,4,4,1,0,0,2,18,19.5,2024-10-22,4.0,4,0.06553079732861083
Miles McBride,NYK,BOS,L,25.85,8,10,0.8,4,5,0.8,2,3,0.667,0,0,0,2,0,0,1,1,22,17.8,2024-10-22,1.0,0,0.038684718039275895
Rui Hachimura,LAL,MIN,W,35.08,7,14,0.5,1,4,0.25,3,4,0.75,3,2,5,1,2,1,0,2,18,15.9,2024-10-22,1.0,5,0.05701254113419211
Jaylen Brown,BOS,NYK,W,29.9,7,18,0.389,5,9,0.556,4,4,1.0,2,5,7,1,1,0,1,3,23,15.6,2024-10-22,0.5,7,0.10033444480486807
Rudy Gobert,MIN,LAL,L,35.33,5,8,0.625,0,0,0.0,3,4,0.75,3,11,14,2,0,1,1,4,13,13.9,2024-10-22,1.0,14,0.113218224930138
Julius Randle,MIN,LAL,L,34.32,5,10,0.5,1,3,0.333,5,7,0.714,3,6,9,4,0,0,2,3,16,13.7,2024-10-22,1.3333333333333333,9,0.08741258486560068
Al Horford,BOS,NYK,W,26.08,4,7,0.571,3,5,0.6,0,0,0.0,0,3,3,5,1,1,0,2,11,13.0,2024-10-22,5.0,3,0.07668711362396037
Jalen Brunson,NYK,BOS,L,24.5,9,14,0.643,1,2,0.5,3,3,1.0,0,1,1,2,0,0,4,3,22,12.3,2024-10-22,0.4,1,0.1224489745939194
Anthony Edwards,MIN,LAL,L,41.07,10,25,0.4,5,13,0.385,2,3,0.667,0,6,6,3,0,0,4,3,27,11.8,2024-10-22,0.6,6,0.07304601721339135
Karl-Anthony Towns,NYK,BOS,L,23.62,5,9,0.556,1,2,0.5,1,1,1.0,0,7,7,3,0,0,0,1,12,11.5,2024-10-22,3.0,7,0.04233700074779844
Austin Reaves,LAL,MIN,W,36.03,6,14,0.429,0,5,0.0,0,1,0.0,4,5,9,4,1,1,0,4,12,11.4,2024-10-22,4.0,9,0.11101859253348342
Josh Hart,NYK,BOS,L,24.5,4,6,0.667,0,2,0.0,4,6,0.667,1,3,4,3,0,0,1,0,12,11.3,2024-10-22,1.5,4,0.0
Nickeil Alexander-Walker,MIN,LAL,L,28.37,5,7,0.714,3,4,0.75,1,2,0.5,2,3,5,0,0,0,2,0,14,11.0,2024-10-22,0.0,5,0.0
LeBron James,LAL,MIN,W,34.65,7,16,0.438,1,4,0.25,1,1,1.0,0,5,5,4,0,2,2,3,16,10.1,2024-10-22,1.3333333333333333,5,0.08658008408138286
Jaxson Hayes,LAL,MIN,W,15.33,4,5,0.8,0,0,0.0,2,2,1.0,3,1,4,0,0,1,0,3,10,10.0,2024-10-22,0.0,4,0.19569470347718831
Mikal Bridges,NYK,BOS,L,34.62,7,13,0.538,2,7,0.286,0,1,0.0,0,0,0,2,0,0,1,0,16,9.7,2024-10-22,1.0,0,0.0
Cameron Payne,NYK,BOS,L,20.72,5,10,0.5,1,4,0.25,0,0,0.0,1,2,3,4,1,0,1,3,11,8.9,2024-10-22,2.0,3,0.14478763779982443
Naz Reid,MIN,LAL,L,26.35,3,8,0.375,2,4,0.5,4,4,1.0,1,3,4,1,0,0,1,3,12,7.7,2024-10-22,0.5,4,0.1138519880891086
Jericho Sims,NYK,BOS,L,24.38,2,3,0.667,0,0,0.0,0,0,0.0,3,6,9,1,0,2,1,0,4,7.7,2024-10-22,0.5,9,0.0
Luke Kornet,BOS,NYK,W,19.32,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,1,1,1,0,0,4,6.8,2024-10-22,1.0,3,0.0
Sam Hauser,BOS,NYK,W,24.17,4,10,0.4,2,7,0.286,0,0,0.0,1,4,5,1,0,0,0,2,10,6.4,2024-10-22,1.0,5,0.08274720385820422
Donte DiVincenzo,MIN,LAL,L,31.55,3,11,0.273,2,8,0.25,2,4,0.5,1,2,3,3,2,0,1,2,10,6.3,2024-10-22,1.5,3,0.06339144014607162
D'Angelo Russell,LAL,MIN,W,34.22,4,12,0.333,1,7,0.143,0,0,0.0,0,1,1,5,2,0,1,2,9,6.2,2024-10-22,2.5,1,0.05844535188645962
Dalton Knecht,LAL,MIN,W,15.78,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,2,1,0,1,1,5,4.3,2024-10-22,1.0,1,0.06337135213109303
OG Anunoby,NYK,BOS,L,34.17,1,7,0.143,0,4,0.0,2,2,1.0,0,5,5,3,1,0,0,3,4,2.9,2024-10-22,3.0,5,0.08779630998547527
Xavier Tillman,BOS,NYK,W,17.7,1,6,0.167,0,3,0.0,0,0,0.0,3,4,7,2,0,0,0,1,2,2.5,2024-10-22,2.0,7,0.056497171949312315
Ariel Hukporti,NYK,BOS,L,6.08,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,1,0,0,0,1.9,2024-10-22,0.0,4,0.0
Mike Conley,MIN,LAL,L,20.22,1,7,0.143,0,5,0.0,3,3,1.0,2,2,4,2,1,0,3,1,5,1.5,2024-10-22,0.5,4,0.049455981728190816
Pacome Dadiet,NYK,BOS,L,13.38,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,3,1.2,2024-10-22,0.0,1,0.0747384099597601
Jaden McDaniels,MIN,LAL,L,16.0,3,8,0.375,0,3,0.0,0,0,0.0,0,2,2,1,1,0,1,5,6,0.9,2024-10-22,0.5,2,0.3124999804687512
Gabe Vincent,LAL,MIN,W,17.22,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,1,2,0.6,2024-10-22,0.6666666666666666,2,0.05807200591916342
Tyler Kolek,NYK,BOS,L,5.4,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,2,0,3,0.0,2024-10-22,0.0,0,0.0
Jordan Walsh,BOS,NYK,W,6.08,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,2024-10-22,1.0,0,0.0
Joe Ingles,MIN,LAL,L,6.8,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-0.4,2024-10-22,1.0,0,0.14705880190311738
Neemias Queta,BOS,NYK,W,4.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2024-10-22,0.0,0,0.23094682888063997
Bronny James,LAL,MIN,W,2.68,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-0.7,2024-10-22,0.0,1,0.0
Jacob Toppin,NYK,BOS,L,2.78,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-22,0.0,0,0.0
Payton Pritchard,BOS,NYK,W,24.97,1,10,0.1,1,9,0.111,0,0,0.0,1,3,4,4,0,0,1,2,3,-1.0,2024-10-22,2.0,4,0.08009611213071237
Max Christie,LAL,MIN,W,11.42,0,3,0.0,0,3,0.0,2,2,1.0,1,1,2,0,0,0,0,5,2,-1.1,2024-10-22,0.0,2,0.4378283329397257
LaMelo Ball,CHO,HOU,W,37.92,10,20,0.5,4,12,0.333,10,10,1.0,1,7,8,11,1,1,2,3,34,33.0,2024-10-23,3.6666666666666665,8,0.07911392196429531
Lauri Markkanen,UTA,MEM,L,34.57,9,15,0.6,4,7,0.571,13,14,0.929,1,8,9,2,0,0,2,2,35,29.4,2024-10-23,0.6666666666666666,9,0.05785362864178107
Trae Young,ATL,BRK,W,36.67,7,16,0.438,2,6,0.333,14,16,0.875,1,4,5,12,1,1,3,1,30,29.4,2024-10-23,3.0,5,0.027270247415591836
Paolo Banchero,ORL,MIA,W,31.2,12,24,0.5,4,8,0.5,5,6,0.833,4,7,11,3,1,1,0,2,33,28.5,2024-10-23,3.0,11,0.0641025620479948
Onyeka Okongwu,ATL,BRK,W,28.48,11,12,0.917,0,0,0.0,6,6,1.0,4,4,8,1,0,3,2,1,28,28.4,2024-10-23,0.3333333333333333,8,0.03511235831768405
Evan Mobley,CLE,TOR,W,26.95,9,14,0.643,1,2,0.5,6,6,1.0,4,5,9,3,2,3,1,2,25,27.5,2024-10-23,1.5,9,0.07421150002925789
Cam Thomas,BRK,ATL,L,33.72,14,27,0.519,7,13,0.538,1,1,1.0,2,3,5,3,3,0,2,4,36,26.5,2024-10-23,1.0,5,0.11862395852242118
